66491cdd1a4db900e216feb1,2.65,2025,0.001,620,,,,,,
671c060104c301eb142661a4,3.56,3290,0.001,270,,,,,,
6711572aa22f0638a3f67bd6,2.99,2445,0.001,545,,,,,,
67d1d9e205762736c05ee22d,3.26,2710,0.001,545,,,,,,
67e83f5e6f0a182bd24bc69a,3.52,2845,0.001,666,,,,,,
654cec9d03f822b4b2b4133a,2.52,2360,0.001,160,,,,,,
675b4c06185c17ba72a17de6,2.61,2395,0.001,210,,,,,,
62916bb383e38e21d42cef2b,2.35,2105,0.001,240,,,,,,
67ccafbbb8c87ce9640349b1,3.33,2655,0.001,666,,,,,,
67744dd5d793cc3d79ba38fc,3.32,3160,0.001,160,,,,,,
66d4407f31981698998d25d8,3.14,2940,0.001,200,,,,,,
67e3f310e2ed4df9e5771e9d,3.91,3285,0.001,620,,,,,,
67d95e6c11829c52f8c6dbf9,2.98,2360,0.001,620,,,,,,
64623fb9c31bd4da22cb60fd,3.33,2710,0.001,620,,,,,,
67269f439696d166fbb74e09,2.52,1970,0.001,545,,,,,,
674cf1b47d6743e2ea091d98,2.76,2560,0.001,200,,,,,,
670d2513894d1c633eeb11a6,2.57,2360,0.001,210,,,,,,
67d28ade0222c890b1785c91,3.21,2710,0.001,500,,,,,,
60e5cb4ca01a593fce9a379d,1.82,1620,0.001,200,,,,,,
66a337531d9c242e4a71267a,3.29,3275,0.001,15,,,,,,
,,,,,,,,,,
,,,,,,,,3.29,4.59,1.395136778
