6752b9e2aedb433712d10e46,2.61
637545d6428d85daeedc3df5,2.76
67c785504b8ce5233217d7aa,3.13
680d69405e7c4e28d4809717,3.6
67e9728e0e7390c9a1ad6a7a,3.02
5e32f34f2a574a01ebf984ab,2.17
65a29d6b297bacfcc92dba8e,3.39
63d79fcd741f9cfb2f87152f,2.81
67e1d21042c9b3507f791a2f,3.13
67aac6e11fce7ffca153f9eb,1.82
62fd14d7b1e0729dc8aadb79,3.26
5fb3d71c3144730009fe4a7b,3.13
67ef2b71416319fc29b5d49d,3.56
67db3c988acf7102a0ce9138,2.53
67eddc7f3c4a5c08fd1abdec,3.03
66ccdd9f6b12c6ea6fa01f42,2.98
63d8966cb1c8fda2f6006864,2.23
6692dd53ec527d60a87c1c82,2.92
6700913b83a64ec85e20319a,2.3
628f572a2d1304a34b9e1a37,3.05
