PROLIFIC_PID,,Payout,Lottery,,,,,,,
PROLIFIC_PID,,Payout,Lottery,,,,,,,
"{""ImportId"":""PROLIFIC_PID""}",,"{""ImportId"":""Payout""}","{""ImportId"":""Lottery""}",,,,,,,
5d8e154af2858200171fdb95,3.48,3275,200,,,,,,,"5d8e154af2858200171fdb95,3.48"
5edabd929d0c9370d88ed85a,1.82,1620,200,,,,,,,"5edabd929d0c9370d88ed85a,1.82"
67d2afd34b4d98df4a4832e3,3.57,3330,240,,,,,,,"67d2afd34b4d98df4a4832e3,3.57"
66f8522292767238ed42ebbd,2.93,2430,500,,,,,,,"66f8522292767238ed42ebbd,2.93"
60fd6618f9a377f54dcdf318,1.89,1680,210,,,,,,,"60fd6618f9a377f54dcdf318,1.89"
6658b30b8d0e10079cbc172a,2.33,2315,15,,,,,,,"6658b30b8d0e10079cbc172a,2.33"
5f687f228c21714dbc4fa18a,3.13,2930,200,,,,,,,"5f687f228c21714dbc4fa18a,3.13"
66311db2f9d3b238692d2972,2.72,2555,160,,,,,,,"66311db2f9d3b238692d2972,2.72"
614e0468bbbac16be38fa13f,3.83,3160,666,,,,,,,"614e0468bbbac16be38fa13f,3.83"
667c2175b570aa694ce2f63c,2.56,2355,200,,,,,,,"667c2175b570aa694ce2f63c,2.56"
67c758c1c0984b56a597d24d,2.85,2580,270,,,,,,,"67c758c1c0984b56a597d24d,2.85"
67ebf37169da19e5b1347712,2.58,2420,160,,,,,,,"67ebf37169da19e5b1347712,2.58"
67c5baf2d8069270128f5896,2.67,2470,200,,,,,,,"67c5baf2d8069270128f5896,2.67"
672e22142aab65aaeec4135f,3.49,3285,200,,,,,,,"672e22142aab65aaeec4135f,3.49"
5de3c83c2033793be6591e53,3.55,2930,620,,,,,,,"5de3c83c2033793be6591e53,3.55"
6734f1a1bb7c7049f1af7029,2.99,2445,545,,,,,,,"6734f1a1bb7c7049f1af7029,2.99"
6548218c0c9527cd69c29f55,2.44,2280,160,,,,,,,"6548218c0c9527cd69c29f55,2.44"
67d1d3ffb1662a82e5e93fb4,4,3835,160,,,,,,,"67d1d3ffb1662a82e5e93fb4,4"
5f70ff16b9894a71cb8f5d91,2.87,2710,160,,,,,,,"5f70ff16b9894a71cb8f5d91,2.87"
67ccf36d4ef92963b68e7ea3,3.12,2955,160,,,,,,,"67ccf36d4ef92963b68e7ea3,3.12"
,,,,,,,,,,
,,,,,,,,,,
,58.82,,82.34,,1.399863992,,,,,
