Payout,Lottery,PROLIFIC_PID,,,Finished
Payout,Lottery,PROLIFIC_PID,,,Finished
"{""ImportId"":""Payout""}","{""ImportId"":""Lottery""}","{""ImportId"":""PROLIFIC_PID""}",,,"{""ImportId"":""finished""}"
3835,15,646c323d73a3844a4331e09b,,3.85,True
1970,620,672b453dd948e9f8124c3c2d,,2.59,True
2390,620,66045b87ffe71e6e521f357d,,3.01,True
2495,270,67d9a819e3c4ebf34af45afd,,2.77,True
2410,620,67f0efad529886aa3bddf5b7,,3.03,True
2600,200,5efb74c2ed804f0e2a2a7d29,,2.8,True
1970,270,62e0532289a4e5d9fedadde1,,2.24,True
3285,200,67df850f53eead84e50f896b,,3.49,True
2665,620,58f0fca0d40252000192f201,,3.29,True
2105,240,67ca11d4a3397b2014be56b4,,2.35,True
2105,545,67e28cfbd3b9caaf6d72dcd6,,2.65,True
2710,545,67ecd9cb2c922a626fe58e4e,,3.26,True
2490,200,67d7d3d51a5476f5196bab78,,2.69,True
2930,666,5bd2a0799afb5b00015be460,,3.6,True
3055,545,5e4a9e0ade1012000aa3de0e,,3.6,True
2410,545,5ea824f580b9ef228f589930,,2.96,True
2280,620,678f0bb28ec3307e4f1afb78,,2.9,True
2490,200,67e9e0449a506867ccbac8cd,,2.69,True
2490,200,652be58c7d5885fc2d4abe9e,,2.69,True
3635,200,673b4532dad611895a16ae00,,3.84,True
2095,160,651ac88823e71c05dbc1ff63,,2.26,True
